Subject,Age,MTELP,Question,Right,Condition,HabCC,Course
BA10,19,43,Q1,1,no_cc,YES,BA
BA10,19,43,Q2,1,no_cc,YES,BA
BA10,19,43,Q3,1,no_cc,YES,BA
BA10,19,43,Q4,0,no_cc,YES,BA
BA10,19,43,Q5,0,no_cc,YES,BA
BA10,19,43,Q6,0,no_cc,YES,BA
BA10,19,43,Q7,0,no_cc,YES,BA
BA10,19,43,Q8,0,no_cc,YES,BA
BA10,19,43,Q9,0,no_cc,YES,BA
BA10,19,43,Q10,0,no_cc,YES,BA
BA1001,19,45,Q1,1,no_cc,YES,BA
BA1001,19,45,Q2,1,no_cc,YES,BA
BA1001,19,45,Q3,1,no_cc,YES,BA
BA1001,19,45,Q4,1,no_cc,YES,BA
BA1001,19,45,Q5,0,no_cc,YES,BA
BA1001,19,45,Q6,1,no_cc,YES,BA
BA1001,19,45,Q7,0,no_cc,YES,BA
BA1001,19,45,Q8,0,no_cc,YES,BA
BA1001,19,45,Q9,1,no_cc,YES,BA
BA1001,19,45,Q10,1,no_cc,YES,BA
BA1002,25,42,Q1,1,auto_cc,YES,BA
BA1002,25,42,Q2,1,auto_cc,YES,BA
BA1002,25,42,Q3,0,auto_cc,YES,BA
BA1002,25,42,Q4,1,auto_cc,YES,BA
BA1002,25,42,Q5,1,auto_cc,YES,BA
BA1002,25,42,Q6,1,auto_cc,YES,BA
BA1002,25,42,Q7,1,auto_cc,YES,BA
BA1002,25,42,Q8,1,auto_cc,YES,BA
BA1002,25,42,Q9,0,auto_cc,YES,BA
BA1002,25,42,Q10,0,auto_cc,YES,BA
BA1004,21,45,Q1,0,human_cc,YES,BA
BA1004,21,45,Q2,1,human_cc,YES,BA
BA1004,21,45,Q3,0,human_cc,YES,BA
BA1004,21,45,Q4,1,human_cc,YES,BA
BA1004,21,45,Q5,1,human_cc,YES,BA
BA1004,21,45,Q6,1,human_cc,YES,BA
BA1004,21,45,Q7,1,human_cc,YES,BA
BA1004,21,45,Q8,1,human_cc,YES,BA
BA1004,21,45,Q9,0,human_cc,YES,BA
BA1004,21,45,Q10,1,human_cc,YES,BA
BA1005,19,45,Q1,1,auto_cc,YES,BA
BA1005,19,45,Q2,0,auto_cc,YES,BA
BA1005,19,45,Q3,1,auto_cc,YES,BA
BA1005,19,45,Q4,1,auto_cc,YES,BA
BA1005,19,45,Q5,0,auto_cc,YES,BA
BA1005,19,45,Q6,1,auto_cc,YES,BA
BA1005,19,45,Q7,0,auto_cc,YES,BA
BA1005,19,45,Q8,0,auto_cc,YES,BA
BA1005,19,45,Q9,1,auto_cc,YES,BA
BA1005,19,45,Q10,1,auto_cc,YES,BA
BA1006,19,45,Q1,1,auto_cc,YES,BA
BA1006,19,45,Q2,1,auto_cc,YES,BA
BA1006,19,45,Q3,1,auto_cc,YES,BA
BA1006,19,45,Q4,0,auto_cc,YES,BA
BA1006,19,45,Q5,1,auto_cc,YES,BA
BA1006,19,45,Q6,1,auto_cc,YES,BA
BA1006,19,45,Q7,0,auto_cc,YES,BA
BA1006,19,45,Q8,1,auto_cc,YES,BA
BA1006,19,45,Q9,1,auto_cc,YES,BA
BA1006,19,45,Q10,0,auto_cc,YES,BA
BA1008,24,42,Q1,1,no_cc,NO,BA
BA1008,24,42,Q2,1,no_cc,NO,BA
BA1008,24,42,Q3,0,no_cc,NO,BA
BA1008,24,42,Q4,0,no_cc,NO,BA
BA1008,24,42,Q5,0,no_cc,NO,BA
BA1008,24,42,Q6,1,no_cc,NO,BA
BA1008,24,42,Q7,0,no_cc,NO,BA
BA1008,24,42,Q8,1,no_cc,NO,BA
BA1008,24,42,Q9,1,no_cc,NO,BA
BA1008,24,42,Q10,1,no_cc,NO,BA
BA1009,19,44,Q1,1,auto_cc,NO,BA
BA1009,19,44,Q2,1,auto_cc,NO,BA
BA1009,19,44,Q3,1,auto_cc,NO,BA
BA1009,19,44,Q4,1,auto_cc,NO,BA
BA1009,19,44,Q5,1,auto_cc,NO,BA
BA1009,19,44,Q6,1,auto_cc,NO,BA
BA1009,19,44,Q7,1,auto_cc,NO,BA
BA1009,19,44,Q8,1,auto_cc,NO,BA
BA1009,19,44,Q9,0,auto_cc,NO,BA
BA1009,19,44,Q10,0,auto_cc,NO,BA
BA1010,20,40,Q1,1,human_cc,NO,BA
BA1010,20,40,Q2,1,human_cc,NO,BA
BA1010,20,40,Q3,1,human_cc,NO,BA
BA1010,20,40,Q4,1,human_cc,NO,BA
BA1010,20,40,Q5,1,human_cc,NO,BA
BA1010,20,40,Q6,1,human_cc,NO,BA
BA1010,20,40,Q7,1,human_cc,NO,BA
BA1010,20,40,Q8,1,human_cc,NO,BA
BA1010,20,40,Q9,0,human_cc,NO,BA
BA1010,20,40,Q10,0,human_cc,NO,BA
BA1011,31,41,Q1,1,no_cc,YES,BA
BA1011,31,41,Q2,1,no_cc,YES,BA
BA1011,31,41,Q3,1,no_cc,YES,BA
BA1011,31,41,Q4,1,no_cc,YES,BA
BA1011,31,41,Q5,1,no_cc,YES,BA
BA1011,31,41,Q6,0,no_cc,YES,BA
BA1011,31,41,Q7,1,no_cc,YES,BA
BA1011,31,41,Q8,0,no_cc,YES,BA
BA1011,31,41,Q9,0,no_cc,YES,BA
BA1011,31,41,Q10,1,no_cc,YES,BA
BA1013,20,44,Q1,1,auto_cc,YES,BA
BA1013,20,44,Q2,1,auto_cc,YES,BA
BA1013,20,44,Q3,1,auto_cc,YES,BA
BA1013,20,44,Q4,0,auto_cc,YES,BA
BA1013,20,44,Q5,1,auto_cc,YES,BA
BA1013,20,44,Q6,1,auto_cc,YES,BA
BA1013,20,44,Q7,1,auto_cc,YES,BA
BA1013,20,44,Q8,1,auto_cc,YES,BA
BA1013,20,44,Q9,1,auto_cc,YES,BA
BA1013,20,44,Q10,0,auto_cc,YES,BA
BA1014,19,45,Q1,1,auto_cc,YES,BA
BA1014,19,45,Q2,1,auto_cc,YES,BA
BA1014,19,45,Q3,0,auto_cc,YES,BA
BA1014,19,45,Q4,0,auto_cc,YES,BA
BA1014,19,45,Q5,0,auto_cc,YES,BA
BA1014,19,45,Q6,1,auto_cc,YES,BA
BA1014,19,45,Q7,1,auto_cc,YES,BA
BA1014,19,45,Q8,0,auto_cc,YES,BA
BA1014,19,45,Q9,1,auto_cc,YES,BA
BA1014,19,45,Q10,1,auto_cc,YES,BA
BA1016,22,42,Q1,1,auto_cc,YES,BA
BA1016,22,42,Q2,1,auto_cc,YES,BA
BA1016,22,42,Q3,0,auto_cc,YES,BA
BA1016,22,42,Q4,1,auto_cc,YES,BA
BA1016,22,42,Q5,1,auto_cc,YES,BA
BA1016,22,42,Q6,1,auto_cc,YES,BA
BA1016,22,42,Q7,1,auto_cc,YES,BA
BA1016,22,42,Q8,1,auto_cc,YES,BA
BA1016,22,42,Q9,1,auto_cc,YES,BA
BA1016,22,42,Q10,1,auto_cc,YES,BA
BA1017,19,40,Q1,1,no_cc,YES,BA
BA1017,19,40,Q2,1,no_cc,YES,BA
BA1017,19,40,Q3,1,no_cc,YES,BA
BA1017,19,40,Q4,0,no_cc,YES,BA
BA1017,19,40,Q5,1,no_cc,YES,BA
BA1017,19,40,Q6,0,no_cc,YES,BA
BA1017,19,40,Q7,1,no_cc,YES,BA
BA1017,19,40,Q8,1,no_cc,YES,BA
BA1017,19,40,Q9,0,no_cc,YES,BA
BA1017,19,40,Q10,1,no_cc,YES,BA
BA1018,19,45,Q1,1,auto_cc,NO,BA
BA1018,19,45,Q2,0,auto_cc,NO,BA
BA1018,19,45,Q3,0,auto_cc,NO,BA
BA1018,19,45,Q4,0,auto_cc,NO,BA
BA1018,19,45,Q5,0,auto_cc,NO,BA
BA1018,19,45,Q6,1,auto_cc,NO,BA
BA1018,19,45,Q7,1,auto_cc,NO,BA
BA1018,19,45,Q8,1,auto_cc,NO,BA
BA1018,19,45,Q9,1,auto_cc,NO,BA
BA1018,19,45,Q10,0,auto_cc,NO,BA
BA1019,20,45,Q1,1,auto_cc,NO,BA
BA1019,20,45,Q2,1,auto_cc,NO,BA
BA1019,20,45,Q3,0,auto_cc,NO,BA
BA1019,20,45,Q4,0,auto_cc,NO,BA
BA1019,20,45,Q5,0,auto_cc,NO,BA
BA1019,20,45,Q6,1,auto_cc,NO,BA
BA1019,20,45,Q7,1,auto_cc,NO,BA
BA1019,20,45,Q8,1,auto_cc,NO,BA
BA1019,20,45,Q9,1,auto_cc,NO,BA
BA1019,20,45,Q10,0,auto_cc,NO,BA
BA1020,20,42,Q1,0,auto_cc,YES,BA
BA1020,20,42,Q2,1,auto_cc,YES,BA
BA1020,20,42,Q3,0,auto_cc,YES,BA
BA1020,20,42,Q4,0,auto_cc,YES,BA
BA1020,20,42,Q5,0,auto_cc,YES,BA
BA1020,20,42,Q6,0,auto_cc,YES,BA
BA1020,20,42,Q7,1,auto_cc,YES,BA
BA1020,20,42,Q8,1,auto_cc,YES,BA
BA1020,20,42,Q9,0,auto_cc,YES,BA
BA1020,20,42,Q10,0,auto_cc,YES,BA
BA1023,19,44,Q1,0,auto_cc,YES,BA
BA1023,19,44,Q2,0,auto_cc,YES,BA
BA1023,19,44,Q3,1,auto_cc,YES,BA
BA1023,19,44,Q4,1,auto_cc,YES,BA
BA1023,19,44,Q5,1,auto_cc,YES,BA
BA1023,19,44,Q6,1,auto_cc,YES,BA
BA1023,19,44,Q7,0,auto_cc,YES,BA
BA1023,19,44,Q8,1,auto_cc,YES,BA
BA1023,19,44,Q9,1,auto_cc,YES,BA
BA1023,19,44,Q10,0,auto_cc,YES,BA
BA1025,20,41,Q1,0,human_cc,YES,BA
BA1025,20,41,Q2,0,human_cc,YES,BA
BA1025,20,41,Q3,0,human_cc,YES,BA
BA1025,20,41,Q4,1,human_cc,YES,BA
BA1025,20,41,Q5,0,human_cc,YES,BA
BA1025,20,41,Q6,1,human_cc,YES,BA
BA1025,20,41,Q7,0,human_cc,YES,BA
BA1025,20,41,Q8,0,human_cc,YES,BA
BA1025,20,41,Q9,1,human_cc,YES,BA
BA1025,20,41,Q10,0,human_cc,YES,BA
BA1028,19,40,Q1,1,no_cc,YES,BA
BA1028,19,40,Q2,1,no_cc,YES,BA
BA1028,19,40,Q3,1,no_cc,YES,BA
BA1028,19,40,Q4,0,no_cc,YES,BA
BA1028,19,40,Q5,0,no_cc,YES,BA
BA1028,19,40,Q6,1,no_cc,YES,BA
BA1028,19,40,Q7,0,no_cc,YES,BA
BA1028,19,40,Q8,1,no_cc,YES,BA
BA1028,19,40,Q9,0,no_cc,YES,BA
BA1028,19,40,Q10,1,no_cc,YES,BA
BA1029,21,34,Q1,0,human_cc,YES,BA
BA1029,21,34,Q2,0,human_cc,YES,BA
BA1029,21,34,Q3,1,human_cc,YES,BA
BA1029,21,34,Q4,0,human_cc,YES,BA
BA1029,21,34,Q5,0,human_cc,YES,BA
BA1029,21,34,Q6,1,human_cc,YES,BA
BA1029,21,34,Q7,1,human_cc,YES,BA
BA1029,21,34,Q8,0,human_cc,YES,BA
BA1029,21,34,Q9,0,human_cc,YES,BA
BA1029,21,34,Q10,0,human_cc,YES,BA
BA1030,31,43,Q1,1,no_cc,NO,BA
BA1030,31,43,Q2,1,no_cc,NO,BA
BA1030,31,43,Q3,1,no_cc,NO,BA
BA1030,31,43,Q4,1,no_cc,NO,BA
BA1030,31,43,Q5,1,no_cc,NO,BA
BA1030,31,43,Q6,1,no_cc,NO,BA
BA1030,31,43,Q7,1,no_cc,NO,BA
BA1030,31,43,Q8,0,no_cc,NO,BA
BA1030,31,43,Q9,0,no_cc,NO,BA
BA1030,31,43,Q10,1,no_cc,NO,BA
BA1031,19,44,Q1,1,auto_cc,YES,BA
BA1031,19,44,Q2,1,auto_cc,YES,BA
BA1031,19,44,Q3,1,auto_cc,YES,BA
BA1031,19,44,Q4,0,auto_cc,YES,BA
BA1031,19,44,Q5,1,auto_cc,YES,BA
BA1031,19,44,Q6,1,auto_cc,YES,BA
BA1031,19,44,Q7,1,auto_cc,YES,BA
BA1031,19,44,Q8,0,auto_cc,YES,BA
BA1031,19,44,Q9,1,auto_cc,YES,BA
BA1031,19,44,Q10,1,auto_cc,YES,BA
BA1032,20,44,Q1,1,no_cc,YES,BA
BA1032,20,44,Q2,0,no_cc,YES,BA
BA1032,20,44,Q3,1,no_cc,YES,BA
BA1032,20,44,Q4,0,no_cc,YES,BA
BA1032,20,44,Q5,0,no_cc,YES,BA
BA1032,20,44,Q6,1,no_cc,YES,BA
BA1032,20,44,Q7,0,no_cc,YES,BA
BA1032,20,44,Q8,0,no_cc,YES,BA
BA1032,20,44,Q9,1,no_cc,YES,BA
BA1032,20,44,Q10,0,no_cc,YES,BA
BA1036,19,42,Q1,1,human_cc,YES,BA
BA1036,19,42,Q2,1,human_cc,YES,BA
BA1036,19,42,Q3,0,human_cc,YES,BA
BA1036,19,42,Q4,0,human_cc,YES,BA
BA1036,19,42,Q5,1,human_cc,YES,BA
BA1036,19,42,Q6,0,human_cc,YES,BA
BA1036,19,42,Q7,1,human_cc,YES,BA
BA1036,19,42,Q8,1,human_cc,YES,BA
BA1036,19,42,Q9,1,human_cc,YES,BA
BA1036,19,42,Q10,1,human_cc,YES,BA
BA1037,21,38,Q1,1,auto_cc,NO,BA
BA1037,21,38,Q2,0,auto_cc,NO,BA
BA1037,21,38,Q3,1,auto_cc,NO,BA
BA1037,21,38,Q4,0,auto_cc,NO,BA
BA1037,21,38,Q5,0,auto_cc,NO,BA
BA1037,21,38,Q6,1,auto_cc,NO,BA
BA1037,21,38,Q7,0,auto_cc,NO,BA
BA1037,21,38,Q8,1,auto_cc,NO,BA
BA1037,21,38,Q9,1,auto_cc,NO,BA
BA1037,21,38,Q10,1,auto_cc,NO,BA
BA1038,20,43,Q1,0,human_cc,YES,BA
BA1038,20,43,Q2,1,human_cc,YES,BA
BA1038,20,43,Q3,1,human_cc,YES,BA
BA1038,20,43,Q4,1,human_cc,YES,BA
BA1038,20,43,Q5,1,human_cc,YES,BA
BA1038,20,43,Q6,1,human_cc,YES,BA
BA1038,20,43,Q7,1,human_cc,YES,BA
BA1038,20,43,Q8,0,human_cc,YES,BA
BA1038,20,43,Q9,0,human_cc,YES,BA
BA1038,20,43,Q10,1,human_cc,YES,BA
BA1039,22,38,Q1,1,human_cc,YES,BA
BA1039,22,38,Q2,0,human_cc,YES,BA
BA1039,22,38,Q3,0,human_cc,YES,BA
BA1039,22,38,Q4,0,human_cc,YES,BA
BA1039,22,38,Q5,1,human_cc,YES,BA
BA1039,22,38,Q6,1,human_cc,YES,BA
BA1039,22,38,Q7,1,human_cc,YES,BA
BA1039,22,38,Q8,0,human_cc,YES,BA
BA1039,22,38,Q9,1,human_cc,YES,BA
BA1039,22,38,Q10,0,human_cc,YES,BA
BA1041,19,44,Q1,1,human_cc,YES,BA
BA1041,19,44,Q2,0,human_cc,YES,BA
BA1041,19,44,Q3,0,human_cc,YES,BA
BA1041,19,44,Q4,1,human_cc,YES,BA
BA1041,19,44,Q5,1,human_cc,YES,BA
BA1041,19,44,Q6,0,human_cc,YES,BA
BA1041,19,44,Q7,0,human_cc,YES,BA
BA1041,19,44,Q8,1,human_cc,YES,BA
BA1041,19,44,Q9,0,human_cc,YES,BA
BA1041,19,44,Q10,0,human_cc,YES,BA
BA1042,19,44,Q1,1,no_cc,NO,BA
BA1042,19,44,Q2,1,no_cc,NO,BA
BA1042,19,44,Q3,1,no_cc,NO,BA
BA1042,19,44,Q4,1,no_cc,NO,BA
BA1042,19,44,Q5,1,no_cc,NO,BA
BA1042,19,44,Q6,1,no_cc,NO,BA
BA1042,19,44,Q7,1,no_cc,NO,BA
BA1042,19,44,Q8,0,no_cc,NO,BA
BA1042,19,44,Q9,1,no_cc,NO,BA
BA1042,19,44,Q10,1,no_cc,NO,BA
BA1043,19,44,Q1,1,human_cc,YES,BA
BA1043,19,44,Q2,1,human_cc,YES,BA
BA1043,19,44,Q3,0,human_cc,YES,BA
BA1043,19,44,Q4,1,human_cc,YES,BA
BA1043,19,44,Q5,1,human_cc,YES,BA
BA1043,19,44,Q6,1,human_cc,YES,BA
BA1043,19,44,Q7,1,human_cc,YES,BA
BA1043,19,44,Q8,1,human_cc,YES,BA
BA1043,19,44,Q9,1,human_cc,YES,BA
BA1043,19,44,Q10,0,human_cc,YES,BA
BA1044,19,44,Q1,1,human_cc,NO,BA
BA1044,19,44,Q2,1,human_cc,NO,BA
BA1044,19,44,Q3,1,human_cc,NO,BA
BA1044,19,44,Q4,1,human_cc,NO,BA
BA1044,19,44,Q5,1,human_cc,NO,BA
BA1044,19,44,Q6,1,human_cc,NO,BA
BA1044,19,44,Q7,1,human_cc,NO,BA
BA1044,19,44,Q8,1,human_cc,NO,BA
BA1044,19,44,Q9,1,human_cc,NO,BA
BA1044,19,44,Q10,0,human_cc,NO,BA
BA1045,19,44,Q1,1,human_cc,YES,BA
BA1045,19,44,Q2,1,human_cc,YES,BA
BA1045,19,44,Q3,0,human_cc,YES,BA
BA1045,19,44,Q4,0,human_cc,YES,BA
BA1045,19,44,Q5,1,human_cc,YES,BA
BA1045,19,44,Q6,1,human_cc,YES,BA
BA1045,19,44,Q7,1,human_cc,YES,BA
BA1045,19,44,Q8,1,human_cc,YES,BA
BA1045,19,44,Q9,0,human_cc,YES,BA
BA1045,19,44,Q10,1,human_cc,YES,BA
BA1047,19,45,Q1,1,no_cc,YES,BA
BA1047,19,45,Q2,1,no_cc,YES,BA
BA1047,19,45,Q3,0,no_cc,YES,BA
BA1047,19,45,Q4,0,no_cc,YES,BA
BA1047,19,45,Q5,1,no_cc,YES,BA
BA1047,19,45,Q6,1,no_cc,YES,BA
BA1047,19,45,Q7,1,no_cc,YES,BA
BA1047,19,45,Q8,0,no_cc,YES,BA
BA1047,19,45,Q9,1,no_cc,YES,BA
BA1047,19,45,Q10,0,no_cc,YES,BA
BA1049,20,39,Q1,0,no_cc,NO,BA
BA1049,20,39,Q2,1,no_cc,NO,BA
BA1049,20,39,Q3,0,no_cc,NO,BA
BA1049,20,39,Q4,0,no_cc,NO,BA
BA1049,20,39,Q5,1,no_cc,NO,BA
BA1049,20,39,Q6,1,no_cc,NO,BA
BA1049,20,39,Q7,1,no_cc,NO,BA
BA1049,20,39,Q8,0,no_cc,NO,BA
BA1049,20,39,Q9,0,no_cc,NO,BA
BA1049,20,39,Q10,0,no_cc,NO,BA
BA1050,19,39,Q1,0,no_cc,YES,BA
BA1050,19,39,Q2,1,no_cc,YES,BA
BA1050,19,39,Q3,1,no_cc,YES,BA
BA1050,19,39,Q4,1,no_cc,YES,BA
BA1050,19,39,Q5,1,no_cc,YES,BA
BA1050,19,39,Q6,1,no_cc,YES,BA
BA1050,19,39,Q7,0,no_cc,YES,BA
BA1050,19,39,Q8,1,no_cc,YES,BA
BA1050,19,39,Q9,1,no_cc,YES,BA
BA1050,19,39,Q10,0,no_cc,YES,BA
BA1051,19,41,Q1,0,no_cc,NO,BA
BA1051,19,41,Q2,0,no_cc,NO,BA
BA1051,19,41,Q3,1,no_cc,NO,BA
BA1051,19,41,Q4,1,no_cc,NO,BA
BA1051,19,41,Q5,1,no_cc,NO,BA
BA1051,19,41,Q6,1,no_cc,NO,BA
BA1051,19,41,Q7,1,no_cc,NO,BA
BA1051,19,41,Q8,1,no_cc,NO,BA
BA1051,19,41,Q9,1,no_cc,NO,BA
BA1051,19,41,Q10,1,no_cc,NO,BA
BA1052,19,36,Q1,1,human_cc,YES,BA
BA1052,19,36,Q2,0,human_cc,YES,BA
BA1052,19,36,Q3,0,human_cc,YES,BA
BA1052,19,36,Q4,1,human_cc,YES,BA
BA1052,19,36,Q5,0,human_cc,YES,BA
BA1052,19,36,Q6,0,human_cc,YES,BA
BA1052,19,36,Q7,0,human_cc,YES,BA
BA1052,19,36,Q8,1,human_cc,YES,BA
